period,period_label,series_id,series_name,value,unit,source,dataset_id,frequency,model_use,concept_note,aggregation,value_variable_code,value_variable_name,series_code,revision_reference
2007,2007,9811,PIB - deflator - variacao anual,6.4,%,IBGE SIDRA,CNA 6784,annual,brazil_annual_context,Annual official Brazil macro context from CNA 6784.,annual_official,,,,
2008,2008,9811,PIB - deflator - variacao anual,8.8,%,IBGE SIDRA,CNA 6784,annual,brazil_annual_context,Annual official Brazil macro context from CNA 6784.,annual_official,,,,
2009,2009,9811,PIB - deflator - variacao anual,7.3,%,IBGE SIDRA,CNA 6784,annual,brazil_annual_context,Annual official Brazil macro context from CNA 6784.,annual_official,,,,
2010,2010,9811,PIB - deflator - variacao anual,8.4,%,IBGE SIDRA,CNA 6784,annual,brazil_annual_context,Annual official Brazil macro context from CNA 6784.,annual_official,,,,
2011,2011,9811,PIB - deflator - variacao anual,8.3,%,IBGE SIDRA,CNA 6784,annual,brazil_annual_context,Annual official Brazil macro context from CNA 6784.,annual_official,,,,
2012,2012,9811,PIB - deflator - variacao anual,7.9,%,IBGE SIDRA,CNA 6784,annual,brazil_annual_context,Annual official Brazil macro context from CNA 6784.,annual_official,,,,
2013,2013,9811,PIB - deflator - variacao anual,7.5,%,IBGE SIDRA,CNA 6784,annual,brazil_annual_context,Annual official Brazil macro context from CNA 6784.,annual_official,,,,
2014,2014,9811,PIB - deflator - variacao anual,7.8,%,IBGE SIDRA,CNA 6784,annual,brazil_annual_context,Annual official Brazil macro context from CNA 6784.,annual_official,,,,
2015,2015,9811,PIB - deflator - variacao anual,7.6,%,IBGE SIDRA,CNA 6784,annual,brazil_annual_context,Annual official Brazil macro context from CNA 6784.,annual_official,,,,
2016,2016,9811,PIB - deflator - variacao anual,8.1,%,IBGE SIDRA,CNA 6784,annual,brazil_annual_context,Annual official Brazil macro context from CNA 6784.,annual_official,,,,
2017,2017,9811,PIB - deflator - variacao anual,3.8,%,IBGE SIDRA,CNA 6784,annual,brazil_annual_context,Annual official Brazil macro context from CNA 6784.,annual_official,,,,
2018,2018,9811,PIB - deflator - variacao anual,4.4,%,IBGE SIDRA,CNA 6784,annual,brazil_annual_context,Annual official Brazil macro context from CNA 6784.,annual_official,,,,
2019,2019,9811,PIB - deflator - variacao anual,4.3,%,IBGE SIDRA,CNA 6784,annual,brazil_annual_context,Annual official Brazil macro context from CNA 6784.,annual_official,,,,
2020,2020,9811,PIB - deflator - variacao anual,6.5,%,IBGE SIDRA,CNA 6784,annual,brazil_annual_context,Annual official Brazil macro context from CNA 6784.,annual_official,,,,
2021,2021,9811,PIB - deflator - variacao anual,13.0,%,IBGE SIDRA,CNA 6784,annual,brazil_annual_context,Annual official Brazil macro context from CNA 6784.,annual_official,,,,
2022,2022,9811,PIB - deflator - variacao anual,8.6,%,IBGE SIDRA,CNA 6784,annual,brazil_annual_context,Annual official Brazil macro context from CNA 6784.,annual_official,,,,
2023,2023,9811,PIB - deflator - variacao anual,5.2,%,IBGE SIDRA,CNA 6784,annual,brazil_annual_context,Annual official Brazil macro context from CNA 6784.,annual_official,,,,
1996,1996,9812,PIB per capita - valores correntes,5219.36,Reais,IBGE SIDRA,CNA 6784,annual,brazil_annual_context,Annual official Brazil macro context from CNA 6784.,annual_official,,,,
1997,1997,9812,PIB per capita - valores correntes,5729.02,Reais,IBGE SIDRA,CNA 6784,annual,brazil_annual_context,Annual official Brazil macro context from CNA 6784.,annual_official,,,,
1998,1998,9812,PIB per capita - valores correntes,5944.93,Reais,IBGE SIDRA,CNA 6784,annual,brazil_annual_context,Annual official Brazil macro context from CNA 6784.,annual_official,,,,
1999,1999,9812,PIB per capita - valores correntes,6359.8,Reais,IBGE SIDRA,CNA 6784,annual,brazil_annual_context,Annual official Brazil macro context from CNA 6784.,annual_official,,,,
2000,2000,9812,PIB per capita - valores correntes,6863.88,Reais,IBGE SIDRA,CNA 6784,annual,brazil_annual_context,Annual official Brazil macro context from CNA 6784.,annual_official,,,,
2001,2001,9812,PIB per capita - valores correntes,7433.48,Reais,IBGE SIDRA,CNA 6784,annual,brazil_annual_context,Annual official Brazil macro context from CNA 6784.,annual_official,,,,
2002,2002,9812,PIB per capita - valores correntes,8306.67,Reais,IBGE SIDRA,CNA 6784,annual,brazil_annual_context,Annual official Brazil macro context from CNA 6784.,annual_official,,,,
2003,2003,9812,PIB per capita - valores correntes,9471.66,Reais,IBGE SIDRA,CNA 6784,annual,brazil_annual_context,Annual official Brazil macro context from CNA 6784.,annual_official,,,,
2004,2004,9812,PIB per capita - valores correntes,10670.69,Reais,IBGE SIDRA,CNA 6784,annual,brazil_annual_context,Annual official Brazil macro context from CNA 6784.,annual_official,,,,
2005,2005,9812,PIB per capita - valores correntes,11700.13,Reais,IBGE SIDRA,CNA 6784,annual,brazil_annual_context,Annual official Brazil macro context from CNA 6784.,annual_official,,,,
2006,2006,9812,PIB per capita - valores correntes,12848.0,Reais,IBGE SIDRA,CNA 6784,annual,brazil_annual_context,Annual official Brazil macro context from CNA 6784.,annual_official,,,,
2007,2007,9812,PIB per capita - valores correntes,14358.06,Reais,IBGE SIDRA,CNA 6784,annual,brazil_annual_context,Annual official Brazil macro context from CNA 6784.,annual_official,,,,
2008,2008,9812,PIB per capita - valores correntes,16253.18,Reais,IBGE SIDRA,CNA 6784,annual,brazil_annual_context,Annual official Brazil macro context from CNA 6784.,annual_official,,,,
2009,2009,9812,PIB per capita - valores correntes,17254.08,Reais,IBGE SIDRA,CNA 6784,annual,brazil_annual_context,Annual official Brazil macro context from CNA 6784.,annual_official,,,,
2010,2010,9812,PIB per capita - valores correntes,19953.1,Reais,IBGE SIDRA,CNA 6784,annual,brazil_annual_context,Annual official Brazil macro context from CNA 6784.,annual_official,,,,
2011,2011,9812,PIB per capita - valores correntes,22310.38,Reais,IBGE SIDRA,CNA 6784,annual,brazil_annual_context,Annual official Brazil macro context from CNA 6784.,annual_official,,,,
2012,2012,9812,PIB per capita - valores correntes,24357.44,Reais,IBGE SIDRA,CNA 6784,annual,brazil_annual_context,Annual official Brazil macro context from CNA 6784.,annual_official,,,,
2013,2013,9812,PIB per capita - valores correntes,26761.53,Reais,IBGE SIDRA,CNA 6784,annual,brazil_annual_context,Annual official Brazil macro context from CNA 6784.,annual_official,,,,
2014,2014,9812,PIB per capita - valores correntes,28778.07,Reais,IBGE SIDRA,CNA 6784,annual,brazil_annual_context,Annual official Brazil macro context from CNA 6784.,annual_official,,,,
2015,2015,9812,PIB per capita - valores correntes,29622.87,Reais,IBGE SIDRA,CNA 6784,annual,brazil_annual_context,Annual official Brazil macro context from CNA 6784.,annual_official,,,,
2016,2016,9812,PIB per capita - valores correntes,30751.29,Reais,IBGE SIDRA,CNA 6784,annual,brazil_annual_context,Annual official Brazil macro context from CNA 6784.,annual_official,,,,
2017,2017,9812,PIB per capita - valores correntes,32126.5,Reais,IBGE SIDRA,CNA 6784,annual,brazil_annual_context,Annual official Brazil macro context from CNA 6784.,annual_official,,,,
2018,2018,9812,PIB per capita - valores correntes,33878.35,Reais,IBGE SIDRA,CNA 6784,annual,brazil_annual_context,Annual official Brazil macro context from CNA 6784.,annual_official,,,,
2019,2019,9812,PIB per capita - valores correntes,35566.77,Reais,IBGE SIDRA,CNA 6784,annual,brazil_annual_context,Annual official Brazil macro context from CNA 6784.,annual_official,,,,
2020,2020,9812,PIB per capita - valores correntes,36380.83,Reais,IBGE SIDRA,CNA 6784,annual,brazil_annual_context,Annual official Brazil macro context from CNA 6784.,annual_official,,,,
2021,2021,9812,PIB per capita - valores correntes,42893.72,Reais,IBGE SIDRA,CNA 6784,annual,brazil_annual_context,Annual official Brazil macro context from CNA 6784.,annual_official,,,,
2022,2022,9812,PIB per capita - valores correntes,47802.02,Reais,IBGE SIDRA,CNA 6784,annual,brazil_annual_context,Annual official Brazil macro context from CNA 6784.,annual_official,,,,
2023,2023,9812,PIB per capita - valores correntes,51693.92,Reais,IBGE SIDRA,CNA 6784,annual,brazil_annual_context,Annual official Brazil macro context from CNA 6784.,annual_official,,,,
1996,1996,90707,PIB a precos de mercado,102.20750000000001,Numero-indice,IBGE SIDRA,CNT 1620,annual,solow_real_quantities,Quarterly CNT volume indices annualized by mean for real-series proxies.,quarterly_to_annual_mean,583,Serie encadeada do indice de volume trimestral (Base: media 1995 = 100),,
1997,1997,90707,PIB a precos de mercado,105.6775,Numero-indice,IBGE SIDRA,CNT 1620,annual,solow_real_quantities,Quarterly CNT volume indices annualized by mean for real-series proxies.,quarterly_to_annual_mean,583,Serie encadeada do indice de volume trimestral (Base: media 1995 = 100),,
1998,1998,90707,PIB a precos de mercado,106.035,Numero-indice,IBGE SIDRA,CNT 1620,annual,solow_real_quantities,Quarterly CNT volume indices annualized by mean for real-series proxies.,quarterly_to_annual_mean,583,Serie encadeada do indice de volume trimestral (Base: media 1995 = 100),,
1999,1999,90707,PIB a precos de mercado,106.5325,Numero-indice,IBGE SIDRA,CNT 1620,annual,solow_real_quantities,Quarterly CNT volume indices annualized by mean for real-series proxies.,quarterly_to_annual_mean,583,Serie encadeada do indice de volume trimestral (Base: media 1995 = 100),,
2000,2000,90707,PIB a precos de mercado,111.205,Numero-indice,IBGE SIDRA,CNT 1620,annual,solow_real_quantities,Quarterly CNT volume indices annualized by mean for real-series proxies.,quarterly_to_annual_mean,583,Serie encadeada do indice de volume trimestral (Base: media 1995 = 100),,
2001,2001,90707,PIB a precos de mercado,112.7525,Numero-indice,IBGE SIDRA,CNT 1620,annual,solow_real_quantities,Quarterly CNT volume indices annualized by mean for real-series proxies.,quarterly_to_annual_mean,583,Serie encadeada do indice de volume trimestral (Base: media 1995 = 100),,
2002,2002,90707,PIB a precos de mercado,116.195,Numero-indice,IBGE SIDRA,CNT 1620,annual,solow_real_quantities,Quarterly CNT volume indices annualized by mean for real-series proxies.,quarterly_to_annual_mean,583,Serie encadeada do indice de volume trimestral (Base: media 1995 = 100),,
2003,2003,90707,PIB a precos de mercado,117.52,Numero-indice,IBGE SIDRA,CNT 1620,annual,solow_real_quantities,Quarterly CNT volume indices annualized by mean for real-series proxies.,quarterly_to_annual_mean,583,Serie encadeada do indice de volume trimestral (Base: media 1995 = 100),,
2004,2004,90707,PIB a precos de mercado,124.28999999999999,Numero-indice,IBGE SIDRA,CNT 1620,annual,solow_real_quantities,Quarterly CNT volume indices annualized by mean for real-series proxies.,quarterly_to_annual_mean,583,Serie encadeada do indice de volume trimestral (Base: media 1995 = 100),,
2005,2005,90707,PIB a precos de mercado,128.27,Numero-indice,IBGE SIDRA,CNT 1620,annual,solow_real_quantities,Quarterly CNT volume indices annualized by mean for real-series proxies.,quarterly_to_annual_mean,583,Serie encadeada do indice de volume trimestral (Base: media 1995 = 100),,
